Word,Count,Term 1,Term 2,Term 3,Term 4,Term 5,Term 6,Term 7
aorta,5,artery (generic term),arteria (generic term),arterial blood vessel (generic term),,,,
aotus,5,Aotus,genus Aotus,mammal genus (generic term),,,,
apace,5,quickly,rapidly,speedily,chop-chop,slowly (antonym),,
apart,5,isolated,obscure,unconnected (similar term),,,,
apart,5,separate,separated,divided (similar term),,,,
apart,5,separate (similar term),,,,,,
apart,5,aside,,,,,,
apart,5,aside,,,,,,
apart,5,asunder,,,,,,
apery,5,mimicry,impersonation (generic term),personation (generic term),,,,
aphid,5,plant louse (generic term),louse (generic term),,,,,
aphis,5,Aphis,genus Aphis,arthropod genus (generic term),,,,
apian,5,hymenopterous insect,hymenopteran,hymenopteron,hymenopter (related term),,,
apios,5,Apios,genus Apios,rosid dicot genus (generic term),,,,
apish,5,apelike,imitative (similar term),,,,,
apium,5,Apium,genus Apium,rosid dicot genus (generic term),,,,
apnea,5,symptom (generic term),,,,,,
appal,5,shock,offend,scandalize,scandalise,appall,outrage,disgust (generic term)
appal,5,dismay,alarm,appall,horrify,frighten (generic term),fright (generic term),scare (generic term)
apple,5,edible fruit (generic term),pome (generic term),false fruit (generic term),,,,
apple,5,orchard apple tree,Malus pumila,apple tree (generic term),,,,
apply,5,use,utilize,utilise,employ,,,
apply,5,hold,go for,refer (generic term),pertain (generic term),relate (generic term),concern (generic term),come to (generic term)
apply,5,request (generic term),bespeak (generic term),call for (generic term),quest (generic term),,,
apply,5,put on,cover (generic term),,,,,
apply,5,lend oneself,defy (antonym),,,,,
apply,5,give,distribute (generic term),administer (generic term),mete out (generic term),deal (generic term),parcel out (generic term),lot (generic term)
apply,5,practice,use,,,,,
apply,5,enforce,implement,compel (generic term),oblige (generic term),obligate (generic term),exempt (antonym),
apply,5,denote (generic term),refer (generic term),,,,,
apply,5,give (generic term),dedicate (generic term),consecrate (generic term),commit (generic term),devote (generic term),,
appro,5,approval (generic term),favorable reception (generic term),favourable reception (generic term),,,,
april,5,April,Apr,Gregorian calendar month (generic term),,,,
apron,5,protective garment (generic term),,,,,,
apron,5,site (generic term),land site (generic term),,,,,
apron,5,proscenium,forestage,stage (generic term),,,,
apron,5,paved surface (generic term),,,,,,
apsis,5,apse,recess (generic term),niche (generic term),,,,
aptly,5,competently,ably,capably,with competence,incompetently (antonym),,
aqaba,5,Al Aqabah,Aqaba,Akaba,city (generic term),metropolis (generic term),urban center (generic term),
arame,5,seaweed (generic term),,,,,,
arava,5,leflunomide,Arava,anti-TNF compound (generic term),,,,
arawn,5,Arawn,Celtic deity (generic term),,,,,
arbor,5,tree (generic term),,,,,,
arbor,5,spindle,mandrel,mandril,rotating shaft (generic term),shaft (generic term),,
arbor,5,arbour,bower,pergola,framework (generic term),frame (generic term),framing (generic term),
arced,5,arched,arching,arciform,arcuate,bowed,curved (similar term),curving (similar term)
arcus,5,arcus senilis,cornea (generic term),,,,,
ardea,5,Ardea,genus Ardea,bird genus (generic term),,,,
ardeb,5,dry unit (generic term),dry measure (generic term),,,,,
ardor,5,ardour,elan,zeal,eagerness (generic term),avidity (generic term),avidness (generic term),keenness (generic term)
ardor,5,ardour,love (generic term),,,,,
ardor,5,ardour,fervor,fervour,fervency,fire,fervidness,passion (generic term)
areal,5,region (related term),,,,,,
areca,5,feather palm (generic term),,,,,,
arena,5,sphere,domain,area,orbit,field,environment (generic term),
arena,5,area (generic term),country (generic term),,,,,
arena,5,stadium,bowl,sports stadium,structure (generic term),construction (generic term),,
arena,5,scene of action,playing field (generic term),athletic field (generic term),playing area (generic term),field (generic term),,
arere,5,obeche,obechi,samba,Triplochiton scleroxcylon,tree (generic term),,
arete,5,ridge (generic term),ridgeline (generic term),,,,,
argal,5,argali,Ovis ammon,wild sheep (generic term),,,,
argil,5,clay (generic term),,,,,,
argon,5,Ar,atomic number 18,chemical element (generic term),element (generic term),noble gas (generic term),inert gas (generic term),argonon (generic term)
argos,5,Argos,city (generic term),metropolis (generic term),urban center (generic term),,,
argot,5,slang,cant,jargon,lingo,patois,vernacular,non-standard speech (generic term)
argue,5,reason,present (generic term),represent (generic term),lay out (generic term),,,
argue,5,contend,debate,fence,converse (generic term),discourse (generic term),,
argue,5,indicate,present (generic term),represent (generic term),lay out (generic term),,,
argun,5,Argun,Argun River,Ergun He,river (generic term),,,
argus,5,Argus,giant (generic term),,,,,
argus,5,argus pheasant,pheasant (generic term),,,,,
arhat,5,Arhat,Arhant,lohan,deity (generic term),divinity (generic term),god (generic term),immortal (generic term)
arhus,5,Arhus,Aarhus,city (generic term),metropolis (generic term),urban center (generic term),port (generic term),
aries,5,Aries,Ram,person (generic term),individual (generic term),someone (generic term),somebody (generic term),mortal (generic term)
aries,5,Aries,constellation (generic term),,,,,
aries,5,Aries,Aries the Ram,Ram,sign of the zodiac (generic term),star sign (generic term),sign (generic term),mansion (generic term)
arise,5,originate,rise,develop,uprise,spring up,grow,become (generic term)
arise,5,come up,bob up,become (generic term),,,,
arise,5,rise,uprise,get up,stand up,change posture (generic term),sit down (antonym),lie down (antonym)
arise,5,come up,happen (generic term),hap (generic term),go on (generic term),pass off (generic term),occur (generic term),pass (generic term)
arise,5,rise,lift,move up,go up,come up,uprise,travel (generic term)
arise,5,rebel,rise,rise up,protest (generic term),resist (generic term),dissent (generic term),
arise,5,get up,turn out,uprise,rise,turn in (antonym),go to bed (antonym),
arity,5,number (generic term),,,,,,
arius,5,Arius,theologian (generic term),theologist (generic term),theologizer (generic term),theologiser (generic term),,
arius,5,Arius,genus Arius,fish genus (generic term),,,,
arles,5,earnest money,earnest (generic term),,,,,
armed,5,equipped (similar term),weaponed (similar term),light-armed (similar term),militarized (similar term),militarised (similar term),unarmed (antonym),
armed,5,armlike (similar term),brachiate (similar term),long-armed (similar term),one-armed (similar term),armless (antonym),,
armed,5,barbed (similar term),barbellate (similar term),briary (similar term),briery (similar term),bristled (similar term),bristly (similar term),burred (similar term)
armet,5,helmet (generic term),,,,,,
armin,5,Arminius,Armin,Hermann,hero (generic term),German (generic term),,
armor,5,armour,protective covering (generic term),protective cover (generic term),protection (generic term),,,
armor,5,armour,military unit (generic term),military force (generic term),military group (generic term),force (generic term),,
armor,5,armour,protective covering (generic term),,,,,
armor,5,armour,equip (generic term),fit (generic term),fit out (generic term),outfit (generic term),,
aroid,5,araceous,monocot family,liliopsid family (related term),,,,
aroid,5,arum,herb (generic term),herbaceous plant (generic term),,,,
aroma,5,olfactory property,smell,odor,odour,scent,property (generic term),
aroma,5,fragrance,perfume,scent,smell (generic term),odor (generic term),odour (generic term),olfactory sensation (generic term)
arras,5,tapestry,hanging (generic term),wall hanging (generic term),,,,
array,5,arrangement (generic term),,,,,,
array,5,display (generic term),,,,,,
array,5,raiment,regalia,clothing (generic term),article of clothing (generic term),vesture (generic term),wear (generic term),wearable (generic term)
array,5,directional antenna (generic term),,,,,,
array,5,range,lay out,set out,arrange (generic term),set up (generic term),,
array,5,align,stand (generic term),,,,,
arrow,5,pointer,mark (generic term),,,,,
arrow,5,projectile (generic term),missile (generic term),,,,,
arson,5,incendiarism,fire-raising,burning (generic term),combustion (generic term),,,
artsd,5,Doctor of Arts,ArtsD,honorary degree (generic term),honoris causa (generic term),,,
aruba,5,Aruba,island (generic term),,,,,
arulo,5,Arulo,artificial language (generic term),,,,,
aruru,5,Aruru,Semitic deity (generic term),,,,,
aryan,5,Indo-European,Indo-Aryan,Aryan,primitive,primitive person (related term),,
aryan,5,Aryan,White (generic term),white person (generic term),Caucasian (generic term),,,
aryan,5,Aryan,Indo-European,primitive (generic term),primitive person (generic term),,,
asala,5,Armenian Secret Army for the Liberation of Armenia,ASALA,Orly Group,3rd October Organization,terrorist organization (generic term),terrorist group (generic term),foreign terrorist organization (generic term)
asama,5,Asama,Mount Asama,volcano (generic term),,,,
asana,5,position (generic term),posture (generic term),attitude (generic term),,,,
asarh,5,Asarh,Asadha,Hindu calendar month (generic term),,,,
ascii,5,American Standard Code for Information Interchange,ASCII,code (generic term),computer code (generic term),,,
ascot,5,cravat (generic term),,,,,,
ascus,5,reproductive structure (generic term),,,,,,
asdic,5,sonar,echo sounder,measuring instrument (generic term),measuring system (generic term),measuring device (generic term),navigational instrument (generic term),
asean,5,Association of Southeast Asian Nations,ASEAN,association (generic term),,,,
ashen,5,blanched,bloodless,livid,white,colorless (similar term),colourless (similar term),
ashen,5,woody (similar term),,,,,,
ashir,5,Ashur,Ashir,Semitic deity (generic term),,,,
ashur,5,Ashur,Ashir,Semitic deity (generic term),,,,
ashur,5,Assur,Asur,Ashur,city (generic term),metropolis (generic term),urban center (generic term),
asian,5,Asian,Asiatic,continent (related term),,,,
asian,5,Asian,oriental,eastern (similar term),,,,
asian,5,Asian,Asiatic,inhabitant (generic term),habitant (generic term),dweller (generic term),denizen (generic term),indweller (generic term)
aside,5,actor's line (generic term),speech (generic term),words (generic term),,,,
aside,5,digression,excursus,divagation,parenthesis,message (generic term),content (generic term),subject matter (generic term)
aside,5,away,,,,,,
aside,5,apart,,,,,,
aside,5,away,,,,,,
aside,5,apart,,,,,,
aside,5,by,away,,,,,
asker,5,inquirer,enquirer,questioner,querier,speaker (generic term),talker (generic term),utterer (generic term)
askew,5,awry,cockeyed,lopsided,wonky,skew-whiff,crooked (similar term),
askew,5,awry,skew-whiff,,,,,
aspen,5,poplar (generic term),poplar tree (generic term),,,,,
asper,5,Turkish monetary unit (generic term),,,,,,
aspic,5,gelatin (generic term),jelly (generic term),,,,,
aspis,5,genus Cerastes,Aspis,genus Aspis,reptile genus (generic term),,,
assam,5,Assam,state (generic term),province (generic term),,,,
assay,5,check,appraisal (generic term),assessment (generic term),,,,
assay,5,substance (generic term),matter (generic term),,,,,
assay,5,report (generic term),study (generic term),written report (generic term),,,,
assay,5,test (generic term),trial (generic term),run (generic term),,,,
assay,5,analyze (generic term),analyse (generic term),study (generic term),examine (generic term),canvass (generic term),canvas (generic term),
assay,5,try,seek,attempt,essay,act (generic term),move (generic term),try out (related term)
asset,5,plus,quality (generic term),liability (antonym),,,,
assur,5,Assur,Asur,Ashur,city (generic term),metropolis (generic term),urban center (generic term),
aster,5,flower (generic term),,,,,,
aster,5,structure (generic term),anatomical structure (generic term),complex body part (generic term),bodily structure (generic term),body structure (generic term),,
astir,5,up,awake (similar term),,,,,
astir,5,about,active (similar term),,,,,
astor,5,Astor,Nancy Witcher Astor,Viscountess Astor,viscountess (generic term),politician (generic term),politico (generic term),pol (generic term)
astor,5,Astor,John Jacob Astor,capitalist (generic term),,,,
asura,5,Asura,Hindu deity (generic term),,,,,
aswan,5,Aswan,Assuan,Assouan,city (generic term),metropolis (generic term),urban center (generic term),
ataxy,5,ataxia,dyssynergia,motor ataxia,nervous disorder (generic term),neurological disorder (generic term),neurological disease (generic term),
athar,5,attar,atar,ottar,essential oil (generic term),volatile oil (generic term),,
athos,5,Athos,Mount Athos,district (generic term),territory (generic term),territorial dominion (generic term),dominion (generic term),
atilt,5,canted,leaning,tilted,tipped,inclined (similar term),,
atlas,5,Atlas,Titan (generic term),,,,,
atlas,5,book of maps,map collection,reference book (generic term),reference (generic term),reference work (generic term),book of facts (generic term),
atlas,5,atlas vertebra,cervical vertebra (generic term),neck bone (generic term),,,,
atlas,5,telamon,column (generic term),pillar (generic term),,,,
atole,5,mush (generic term),cornmeal mush (generic term),,,,,
atoll,5,coral reef (generic term),,,,,,
atone,5,expiate,aby,abye,right (generic term),compensate (generic term),redress (generic term),correct (generic term)
